Game No : 1, Score :  -1063.88255129
Game No : 2, Score :  -253.389092165
Game No : 3, Score :  -779.150821381
Game No : 4, Score :  -130.564289956
Game No : 5, Score :  -941.116443336
Game No : 6, Score :  -619.049367766
Game No : 7, Score :  -131.807265853
Game No : 8, Score :  -388.430832569
Game No : 9, Score :  -1.4037608405
Game No : 10, Score :  -927.128877738
Game No : 11, Score :  -130.393580386
Game No : 12, Score :  -260.781399065
Game No : 13, Score :  -131.878493491
Game No : 14, Score :  -261.111179094
Game No : 15, Score :  -257.473711016
Game No : 16, Score :  -133.157547305
Game No : 17, Score :  -1.38826810785
Game No : 18, Score :  -1.38570062485
Game No : 19, Score :  -132.713657708
Game No : 20, Score :  -1.30191821673
Game No : 21, Score :  -515.632291615
Game No : 22, Score :  -256.492215873
Game No : 23, Score :  -1.66393568912
Game No : 24, Score :  -2.22638432936
Game No : 25, Score :  -368.625523981
Game No : 26, Score :  -1023.0929264
Game No : 27, Score :  -3.59102429053
Game No : 28, Score :  -136.042162776
Game No : 29, Score :  -1013.41277051
Game No : 30, Score :  -261.888766387
Game No : 31, Score :  -654.728681076
Game No : 32, Score :  -125.800276039
Game No : 33, Score :  -532.316346527
Game No : 34, Score :  -384.215547304
Game No : 35, Score :  -2.08245354891
Game No : 36, Score :  -1055.01542505
Game No : 37, Score :  -662.994173788
Game No : 38, Score :  -385.193717184
Game No : 39, Score :  -265.095314165
Game No : 40, Score :  -132.337681322
Game No : 41, Score :  -132.21092202
Game No : 42, Score :  -256.844030518
Game No : 43, Score :  -257.763574773
Game No : 44, Score :  -123.516812402
Game No : 45, Score :  -1.71124298522
Game No : 46, Score :  -534.751920022
Game No : 47, Score :  -1.39425716146
Game No : 48, Score :  -653.277657777
Game No : 49, Score :  -404.197785314
Game No : 50, Score :  -127.582461225
Game No : 51, Score :  -649.78559835
Game No : 52, Score :  -390.605176819
Game No : 53, Score :  -131.164632815
Game No : 54, Score :  -790.899533292
Game No : 55, Score :  -126.016822596
Game No : 56, Score :  -396.388294652
Game No : 57, Score :  -133.221949832
Game No : 58, Score :  -930.720825172
Game No : 59, Score :  -539.237409869
Game No : 60, Score :  -128.433899156
Game No : 61, Score :  -259.251205995
Game No : 62, Score :  -384.031153598
Game No : 63, Score :  -262.340212525
Game No : 64, Score :  -263.273459285
Game No : 65, Score :  -1451.29577801
Game No : 66, Score :  -124.666466758
Game No : 67, Score :  -547.091171484
Game No : 68, Score :  -1023.0370415
Game No : 69, Score :  -1483.38419329
Game No : 70, Score :  -640.71352026
Game No : 71, Score :  -373.645894292
Game No : 72, Score :  -125.836564299
Game No : 73, Score :  -511.27406441
Game No : 74, Score :  -519.758707776
Game No : 75, Score :  -257.767963806
Game No : 76, Score :  -386.730109343
Game No : 77, Score :  -136.786028053
Game No : 78, Score :  -131.649064759
Game No : 79, Score :  -380.347100022
Game No : 80, Score :  -378.353004249
Game No : 81, Score :  -130.722390043
Game No : 82, Score :  -1048.2473257
Game No : 83, Score :  -386.298045683
Game No : 84, Score :  -262.783978672
Game No : 85, Score :  -258.477805548
Game No : 86, Score :  -628.611235705
Game No : 87, Score :  -124.245449763
Game No : 88, Score :  -129.410686068
Game No : 89, Score :  -256.330649136
Game No : 90, Score :  -779.782112098
Game No : 91, Score :  -697.838319613
Game No : 92, Score :  -650.757927798
Game No : 93, Score :  -397.800129823
Game No : 94, Score :  -120.85805557
Game No : 95, Score :  -129.115998158
Game No : 96, Score :  -1.66695354322
Game No : 97, Score :  -261.997917007
Game No : 98, Score :  -1560.94139659
Game No : 99, Score :  -390.3348665
Game No : 100, Score :  -395.362511095
Avarage Score in 100 Games : -392.924976403
